"Node","","Estimate","Std. Error","z value","Pr(>|z|)",""
2,"(Intercept)",-148.571474748425,NA,NA," NA",""
2,"bm",4.97739823684739,1.30839820576297,3.80419219082077,"1.42e-04","***"
2,"db",-10.3708004424081,1.49593040429774,-6.93267575323908,"4.13e-12","***"
2,"df",-1.63622208191614,0.518376948655878,-3.15643295126986,"1.60e-03","**"
2,"dh",10.8641874335137,1.56018754190837,6.96338558134174,"3.32e-12","***"
2,"gy",-14.180500369321,2.55179904611706,-5.55705998515,"2.74e-08","***"
2,"ph",0.0588666045672541,0.0579174169221225,1.01638863912747,"3.09e-01"," "
2,"spl",14.3123428882323,1.59541951109475,8.97089623682202,"2.94e-19","***"
2,"sps",2.04396344639931,0.200552570943492,10.191659158412,"2.16e-24","***"
2,"tgw",0.679306510724995,0.0889352196008933,7.63821705026938,"2.20e-14","***"
5,"(Intercept)",0.814458869899902,NA,NA," NA",""
5,"bm",1.44653512214179,1.62779403567439,0.888647513407617,"3.74e-01"," "
5,"db",-0.434205933325259,1.86192642621895,-0.233202519289126,"8.16e-01"," "
5,"df",0.764074852386537,0.644525851830284,1.18548363920045,"2.36e-01"," "
5,"dh",-0.264866766737582,1.93722367033847,-0.136724927943558,"8.91e-01"," "
5,"gy",-0.79448874531918,3.24994162940776,-0.244462466073263,"8.07e-01"," "
5,"ph",0.196898590286372,0.0766952994847621,2.56728367460762,"1.02e-02","*"
5,"spl",-8.75996083221162,1.95478369585565,-4.48129419678692,"7.42e-06","***"
5,"sps",0.0503611127044967,0.246680998180744,0.204154811582191,"8.38e-01"," "
5,"tgw",0.130296442418752,0.104971861015571,1.24125114252689,"2.15e-01"," "
6,"(Intercept)",-20.6036463607553,NA,NA," NA",""
6,"bm",3.32795483502304,2.10568330058468,1.5804631371199,"1.14e-01"," "
6,"db",2.97628553426142,2.33871899161797,1.27261357389601,"2.03e-01"," "
6,"df",2.9242692332677,0.84990346298853,3.44070751633961,"5.80e-04","***"
6,"dh",-5.9324296407223,2.4254674653398,-2.44589124591337,"1.44e-02","*"
6,"gy",4.9309183134823,4.21189606488911,1.1707122487155,"2.42e-01"," "
6,"ph",0.550667717252181,0.105124976516179,5.23821964580825,"1.62e-07","***"
6,"spl",-9.8390914206558,2.55100671720909,-3.85694453655543,"1.15e-04","***"
6,"sps",-0.343669980176604,0.313616316740673,-1.09582939991219,"2.73e-01"," "
6,"tgw",-0.0866916195686152,0.134566716128796,-0.644227800622268,"5.19e-01"," "
8,"(Intercept)",77.5553257819416,NA,NA," NA",""
8,"bm",20.5686328683852,6.56199456312911,3.13450928227788,"1.72e-03","**"
8,"db",57.1690439949011,11.8401680876074,4.82839800684398,"1.38e-06","***"
8,"df",-4.40534578474327,1.71350580886354,-2.57095468364071,"1.01e-02","*"
8,"dh",-51.7161385372879,10.773258177448,-4.80041763461559,"1.58e-06","***"
8,"gy",79.9240977531479,10.3538158214093,7.71928911347672,"1.17e-14","***"
8,"ph",-0.216200512796805,0.15925987408373,-1.35753286281728,"1.75e-01"," "
8,"spl",4.8683687709753,5.3718953344322,0.90626649774253,"3.65e-01"," "
8,"sps",-2.02701312955456,1.17337737668056,-1.72750316295419,"8.41e-02","."
8,"tgw",-3.35552026646054,0.686345534967346,-4.88896641051244,"1.01e-06","***"
9,"(Intercept)",525.517120880221,NA,NA," NA",""
9,"bm",-16.129750194442,6.37469098732767,-2.53027954241336,"1.14e-02","*"
9,"db",60.0028028488296,9.06494988351226,6.61920955106055,"3.61e-11","***"
9,"df",18.0348960187777,3.04875315539714,5.91549892678287,"3.31e-09","***"
9,"dh",-75.7642896668838,11.1994029316866,-6.76502936174596,"1.33e-11","***"
9,"gy",120.017827761372,25.1043980827804,4.78074906897267,"1.75e-06","***"
9,"ph",1.6300722105101,0.392878482783883,4.14904934207553,"3.34e-05","***"
9,"spl",-85.1096722450169,14.4094497921658,-5.9065178388206,"3.49e-09","***"
9,"sps",-8.26513620175952,1.50412917975635,-5.49496433750348,"3.91e-08","***"
9,"tgw",-0.859653243483052,0.308757431014174,-2.78423499204328,"5.37e-03","**"
