"family","geno","worth","rank"
"N1","1_107",0.0869397900172216,1
"N1","1_97",0.0442176072162277,2
"N1","1_100",0.0321704045429593,3
"N1","1_101",0.0255381955531942,4
"N1","1_116",0.0252017389475687,5
"N1","1_115",0.0213881061509829,6
"N1","1_159",0.0206668278323701,7
"N1","1_16",0.0200475754799878,8
"N1","1_6",0.0199837845661556,9
"N1","1_53",0.0195014092205444,10
"N1","1_34",0.0184820363024465,11
"N1","1_89",0.0182260052207975,12
"N1","1_68",0.0173508983658491,13
"N1","1_37",0.0172231725980007,14
"N1","1_30",0.0166683618169829,15
"N1","1_122",0.0160060573834229,16
"N1","1_66",0.0156689985210183,17
"N1","1_15",0.0156503475881709,18
"N1","1_91",0.0154883576738479,19
"N1","1_14",0.0150252830328214,20
"N3","3_86",0.0719700414370117,1
"N3","3_89",0.0672253717762652,2
"N3","3_49",0.0456580031350237,3
"N3","3_54",0.0443713692118259,4
"N3","3_93",0.0412939985980578,5
"N3","3_108",0.0340714460993242,6
"N3","3_24",0.026376253070963,7
"N3","3_37",0.0260624216654272,8
"N3","3_106",0.0231599021869496,9
"N3","3_109",0.0222408743764585,10
"N3","3_19",0.0204081962072554,11
"N3","3_2",0.0172671497878482,12
"N3","3_121",0.0166674358773401,13
"N3","3_119",0.016484294500687,14
"N3","3_14",0.0160419733209905,15
"N3","3_35",0.0159530643949712,16
"N3","3_13",0.0144831638752107,17
"N3","3_1",0.0138871014799701,18
"N3","3_92",0.0135113041988865,19
"N3","3_98",0.0130049390675208,20
"N5","5_4",0.0624517786800585,1
"N5","5_79",0.0614541068819867,2
"N5","5_96",0.0584494158099919,3
"N5","5_21",0.044288473302721,4
"N5","5_111",0.0274029520143117,5
"N5","5_41",0.0250639779358541,6
"N5","5_34",0.0241943781034824,7
"N5","5_100",0.021187040699354,8
"N5","5_29",0.0199351692286828,9
"N5","5_42",0.0197237981295788,10
"N5","5_70",0.0188188647836853,11
"N5","5_109",0.018804693336239,12
"N5","5_99",0.0187063872744853,13
"N5","5_22",0.0181305035261392,14
"N5","5_115",0.0180522561240622,15
"N5","5_48",0.0172095246421616,16
"N5","5_16",0.0171631765088892,17
"N5","5_118",0.0169679634041173,18
"N5","5_12",0.0165023783255258,19
"N5","5_77",0.0149274388708433,20
"N8","8_44",0.0469677834778047,1
"N8","8_117",0.0388818683271725,2
"N8","8_80",0.0327055450054705,3
"N8","8_39",0.03068025219371,4
"N8","8_59",0.02880868048223,5
"N8","8_61",0.0269612738314355,6
"N8","8_79",0.0236497402428786,7
"N8","8_54",0.0236216130131584,8
"N8","8_32",0.0234377889034031,9
"N8","8_98",0.0226689941558952,10
"N8","8_50",0.0208812163147101,11
"N8","8_139",0.0187215073646657,12
"N8","8_112",0.0171956081964464,13
"N8","8_115",0.017024646730886,14
"N8","8_99",0.0169773053030238,15
"N8","8_83",0.016837640807812,16
"N8","8_94",0.0167352878634926,17
"N8","8_16",0.0167071935487795,18
"N8","8_121",0.0159432671058454,19
"N8","8_75",0.0151053563579862,20
"N10","10_155",0.0448509653433109,1
"N10","10_107",0.0381775120096986,2
"N10","10_96",0.037475599599436,3
"N10","10_100",0.036361221950907,4
"N10","10_114",0.0351532204908856,5
"N10","10_106",0.0344015163636855,6
"N10","10_128",0.027166634681819,7
"N10","10_69",0.0238658278777443,8
"N10","10_112",0.0226222490673643,9
"N10","10_25",0.0221821821047321,10
"N10","10_160",0.0219456895282189,11
"N10","10_30",0.0217083651432159,12
"N10","10_130",0.019402948717486,13
"N10","10_16",0.0190022948364964,14
"N10","10_37",0.0188381756760003,15
"N10","10_5",0.0176828463986255,16
"N10","10_137",0.0175963311073135,17
"N10","10_154",0.0170471058519913,18
"N10","10_50",0.0165844912541923,19
"N10","10_102",0.0156823322647506,20
"N16","16_12",0.0446793805937556,1
"N16","16_37",0.0324578171441975,2
"N16","16_120",0.0306192595711598,3
"N16","16_64",0.0281556493234069,4
"N16","16_153",0.0275740484824395,5
"N16","16_102",0.0269293845279553,6
"N16","16_49",0.0253020375727339,7
"N16","16_123",0.0224487948607377,8
"N16","16_129",0.0211073292036642,9
"N16","16_16",0.020905591912699,10
"N16","16_75",0.0208030821493376,11
"N16","16_95",0.0184548153341243,12
"N16","16_114",0.0179935232250776,13
"N16","16_148",0.0177705446183838,14
"N16","16_21",0.0173197414794461,15
"N16","16_117",0.0165706770595674,16
"N16","16_134",0.0159041995055986,17
"N16","16_24",0.0153765903491359,18
"N16","16_121",0.0153735760133524,19
"N16","16_58",0.0149747244591495,20
"N19","19_124",0.0689794871288857,1
"N19","19_35",0.0434052421023633,2
"N19","19_72",0.0327863271389286,3
"N19","19_108",0.0319676721032417,4
"N19","19_105",0.029855192931926,5
"N19","19_47",0.0296992809956728,6
"N19","19_18",0.0227887841633889,7
"N19","19_107",0.0219448969789499,8
"N19","19_41",0.0208380636754264,9
"N19","19_26",0.0200532240259741,10
"N19","19_134",0.0189946461202538,11
"N19","19_45",0.0189405845046875,12
"N19","19_68",0.0181145999253522,13
"N19","19_34",0.0177640576170985,14
"N19","19_113",0.0172064355953627,15
"N19","19_74",0.017091836494605,16
"N19","19_20",0.0165544768137538,17
"N19","19_39",0.0152898715438571,18
"N19","19_84",0.015102938228537,19
"N19","19_24",0.0146819281324678,20
"N32","32_114",0.0906385992935348,1
"N32","32_154",0.0427749004986402,2
"N32","32_63",0.0368561316280473,3
"N32","32_111",0.0307065520563635,4
"N32","32_94",0.028996322756646,5
"N32","32_187",0.0285840777417803,6
"N32","32_67",0.024062564969947,7
"N32","32_69",0.0240178855162753,8
"N32","32_53",0.0228848646925451,9
"N32","32_43",0.0215430500890973,10
"N32","32_174",0.0201196240771718,11
"N32","32_83",0.0185923906116588,12
"N32","32_129",0.0177821485725211,13
"N32","32_64",0.0174226971794364,14
"N32","32_133",0.0171414644501914,15
"N32","32_158",0.0169149124383296,16
"N32","32_36",0.016671448452527,17
"N32","32_161",0.0157513011297405,18
"N32","32_99",0.0133605669853276,19
"N32","32_109",0.0125590754568331,20
"N36","36_80",0.0335682378329677,1
"N36","36_58",0.0281300325372536,2
"N36","36_73",0.0258396092882582,3
"N36","36_7",0.0239997438319046,4
"N36","36_37",0.0238354732146395,5
"N36","36_68",0.0214453530919515,6
"N36","36_28",0.0212170129098652,7
"N36","36_101",0.0204489493346447,8
"N36","36_61",0.0195661361096001,9
"N36","36_38",0.0189191529078026,10
"N36","36_119",0.0187936036140087,11
"N36","36_4",0.0187896054192604,12
"N36","36_70",0.0170597694450249,13
"N36","36_39",0.016567587289717,14
"N36","36_96",0.0157702960145241,15
"N36","36_67",0.015498626292282,16
"N36","36_131",0.0154760238407592,17
"N36","36_60",0.0150014357396344,18
"N36","36_8",0.0149782962831169,19
"N36","36_51",0.0148992433097425,20
"N45","45_164",0.444256304701853,1
"N45","45_26",0.0369365065220043,2
"N45","45_28",0.0315657116987202,3
"N45","45_158",0.028910865749325,4
"N45","45_74",0.0178976084759054,5
"N45","45_107",0.0162149013938944,6
"N45","45_124",0.0159750025254655,7
"N45","45_18",0.0144902738210649,8
"N45","45_90",0.0143015275174951,9
"N45","45_178",0.0137633889939132,10
"N45","45_160",0.0135934040049839,11
"N45","45_130",0.0120477193013113,12
"N45","45_176",0.0113919716307988,13
"N45","45_100",0.0112044851773025,14
"N45","45_75",0.0109221672295757,15
"N45","45_104",0.0105915410263189,16
"N45","45_94",0.00992644163615202,17
"N45","45_13",0.00981077206388384,18
"N45","45_76",0.0093848201458599,19
"N45","45_153",0.00917078848516733,20
"N46","46_83",0.0799310446629163,1
"N46","46_173",0.0413856097362874,2
"N46","46_140",0.0345344685906327,3
"N46","46_117",0.0281244276933133,4
"N46","46_136",0.026963388302238,5
"N46","46_20",0.0250557930834829,6
"N46","46_167",0.0228745014223307,7
"N46","46_71",0.0213384302796834,8
"N46","46_114",0.0202161975725272,9
"N46","46_78",0.0199100783283039,10
"N46","46_21",0.0193186332735589,11
"N46","46_43",0.0186623991927985,12
"N46","46_84",0.0167734880841794,13
"N46","46_168",0.0166168888695468,14
"N46","46_99",0.0160497022283392,15
"N46","46_131",0.0154779112695286,16
"N46","46_118",0.0154099783523958,17
"N46","46_9",0.0139674338227729,18
"N46","46_138",0.0137671206898681,19
"N46","46_111",0.0136081809278497,20
"N51","51_54",0.0576595179472167,1
"N51","51_72",0.0368595062708187,2
"N51","51_51",0.0314436301136874,3
"N51","51_94",0.0313498990613035,4
"N51","51_77",0.0303755281181027,5
"N51","51_135",0.0226322499668109,6
"N51","51_17",0.0224260882011639,7
"N51","51_118",0.0223861854474869,8
"N51","51_79",0.0216522231046497,9
"N51","51_120",0.0215715595808692,10
"N51","51_140",0.0209531336607084,11
"N51","51_101",0.020354175306701,12
"N51","51_156",0.0190771298684853,13
"N51","51_82",0.0190675312573725,14
"N51","51_29",0.0181306704372733,15
"N51","51_107",0.0178360372486094,16
"N51","51_97",0.0173698663350843,17
"N51","51_153",0.016944652163947,18
"N51","51_35",0.0161915004280187,19
"N51","51_130",0.0147160249271435,20
